status,listPrice,baths,baths_full,beds,sqft,stories,text,type,year_built
for_sale,115000.0,1,1.0,3.0,1604.0,1.0,Beautiful lot 1 acre outside city limits  Large trees  Home process remodelling unfinished  Needs work priced accordingly ,single_family,1950
for_sale,425000.0,3,2.0,4.0,2737.0,1.0,Welcome 1511  19th Avenue North Texas City  4253 home nestled quiet tree lined culdesac Mainland Park  open floor plan provides perfect place entertaining  kitchen includes granite countertops  double ovens  electric cooktop  microwave  dishwasher  refrigerator  disposal  utility room  located kitchen  find second refrigerator LG Washer Tower  New flooring installed throughout house 2022  Large primary bedroom ensuite 12 X 10 foot walkin closet  2020 two full bathrooms totally remodeled new storm rated windows installed throughout house  new HVAC system installed 2023  Approximately one half acre lot oversized backyard  mention room park three cars attached double car garage additional detached one car garage  busy day  ll find swim spa great place relax enjoy new home ,single_family,1971
for_sale,19000.0,1,1.0,2.0,971.0,2.0,FULL OWNERSHIP  FRACTIONAL OWNERSHIP  USE 1 WEEK EVERY 8 WEEKS  Deeded 18 SHARE ownership  Fully furnished condo fabulous sunset views  fishing pier  Monthly fee includes utilities  insurances  cable  maintenance  linens  cleaning weeks used  PERFECT GETAWAY SPOT  ,townhomes,1992
for_sale,575000.0,4,4.0,5.0,4179.0,2.0,Come see stunning Arlington home  Refreshed newer roof  intext paint  updated fixtures  new ceiling fans  flooring  much  High ceilings abundance natural light set serene ambiance  living  dining rooms flow together  ideal hosting guests  kitchen boasts quartz counters  island  dining nook  plus brand new cabinets Stainless Steel appliances  Relax family room warm fireplace  Downstairs office luxurious master  walkin closet ensuite dual vanities  separate shower stall soaking tub  Upstairs bedrooms GAME ROOM  Enjoy fresh air covered patio lush backyard  Definitely must see ,single_family,2003
for_sale,169900.0,1,1.0,2.0,947.0,1.0,Look Cutie move ready   Beautiful 2 bedroom 1 bath  COMES APPLIANCES BEAUTFUL COZY fireplace   freah new paint throughout home  Brand new carpet bedrooms   Easy access mayor highways   come see  Make appointment today ,single_family,1981
for_sale,498000.0,3,2.0,3.0,3125.0,1.0,Large West Sherman home half acre lot 3 bedrooms 25 baths  Large living room fireplace  spacious dining room  large activity room beautiful views backyard  Outside includes large open patio built grill  Kitchen Jack  Jill bathroom along home completely updated ,single_family,1951
for_sale,340000.0,2,2.0,3.0,1602.0,1.0,Step contemporary elegance updated gem  Flooded natural light  openconcept kitchen living area provides enough separation heart family life  Features include vaulted ceiling  upgraded cabinetry  quartz countertops  waterfall island  chefstyle Stainless Steel appliancesan entertainer s dream  3bed  2bath oversize corner lot boasts striking curb appeal  upgrades throughout  bathrooms flooring  doors  trim  plumbing fixtures  redefine quality  Plus  s stroll away Lee Hager Chimney Rock Park  Call today blend style comfort ,single_family,1960
for_sale,279900.0,3,2.0,3.0,1720.0,2.0,WOW  one beauty neighborhood  whole LOT house price    one MUST see   GREAT location excellent SCHOOLS  NEW Stainless Steel Appliances  NEW carpet  NEW paint  New flooring  new fixtures much awaits you See CALL TODAY   ,single_family,2001
for_sale,669000.0,4,3.0,4.0,2167.0,1.0,Welcome Home  gently livedin cozy ONESTORY home nested highly desirable Bradford Park home waiting  Medina II plan Lennar  charming home offers functional floorplan 4 bedrooms  3 baths  study flex space  large breakfast area  open floor plan  spacious living room boasts ton natural light open kitchen dining space  perfect entertaining  primary bedroom boasts luxury bath separate shower tub  walk closet  Enjoy evenings private backyard covered patio perfect build pool wanting  Transitional color scheme designer upgrades throughout home including quartz countertops  upgraded wood flooring  SS appliances double oven  upgraded kitchen cabinets lighting package  much  Perfect location  within walking distance pond  playground  walking trails  vacation home owners  shows like model ,single_family,2022
for_sale,299900.0,3,2.0,2.0,2372.0,2.0,Welcome sprawling estate nestled picturesque landscape Early  Texas  impressive property spans 503 acres pristine land  offering rare opportunity embrace serene country living conveniently located near intown amenities  home 2 spacious living areas  gather loved ones unwind 1 2 cozy fireplaces  Enjoy scenic views sunroom featuring plenty natural light  bedrooms large primary access outside deck  Outside  expansive grounds provide endless opportunities outdoor recreation relaxation  Whether re exploring scenic trails  tending garden  simply enjoying tranquility nature  property offers true escape hustle bustle city life  property features peace quiet country living mere minutes town  Call today schedule private tour ,single_family,1969
for_sale,300000.0,3,2.0,3.0,1872.0,2.0,OPEN HOUSE 210  211TH 123PM  Oversized lot ground pool enjoy  Vaulted ceiling living area primary bedroom  Beautiful design  first floor tile  Second bedroom access large balcony overlooking backyard pool  Ideal someone appreciate potential  Short distance shopping center  1604 35 HWY  community Green Spring Valley parklike setting wonderful walks  ,single_family,1978
for_sale,259900.0,2,2.0,3.0,1390.0,1.0,43 Golf House Rd  3 bedroom  2 bath Golf Villa views Lake fairway  Tile floors throughout lots windows natural lighting  Offered unfurnished ,townhomes,2001
for_sale,539000.0,3,2.0,3.0,3171.0,1.0,stunning residence  peacefully nestled charming culdesac  features brandnew roof  2023   recent appliances  HVAC  2019   fence  2019   Step inside discover gourmet kitchen make chef swoon  added bonus  s finished game roomstudio garage  providing versatile space entertainment creativity  primary bedroom  indulge convenience elegance Californiastyle closet builtins  Tucked away secure gated neighborhood  swing away renowned Champions Golf Club ,single_family,2001
for_sale,519900.0,2,2.0,3.0,1869.0,1.0,Introducing stunning new construction home nestled within secure gated community Pecan Plantation  modern home 3 bedrooms  including luxurious master suite  2 pristine bathrooms  Step inside discover inviting openconcept layout covered patio  perfect everyday living entertaining guests  modern interior boasts highend finishes  quartz countertops  stylish light fixtures throughout  huge 2 car garage golf cart garage door epoxy floors  well  Pecan Plantation offers plethora amenities including 2 golf courses  2 community pools  tennis  pickleball  disk golf  river lake access  marina  2 airstrips  playgrounds  horse facilities  walking trails  activity center  amazing club house much  Come enjoy life Pecan Plantation  ,single_family,2024
for_sale,60000.0,1,1.0,1.0,792.0,1.0,Welcome hidden gem nestled generous sized lot  offering endless possibilities seeking peaceful country retreat  onebedroom  onebath home awaiting transformation  beckoning creative individuals bring vision life  Step inside discover cozy living space  practical floor plan provides excellent canvas modernizing space meet lifestyle preferences  bedroom boasts ample natural light  kitchen living great sized space ,single_family,2006
for_sale,610000.0,2,2.0,2.0,1458.0,1.0,moment cross threshold enchanting home  re greeted unmistakable sense peace  Nestled Cottages Spillman Ridge  captivating single story home offers lockandleave lifestyle adorned resortstyle amenities  including refreshing pool charming common areas  five golf courses within 5mile radius  residence promises dwelling lifestyle steeped leisure recreation  Strategically located near Lakeway  Baylor Scott  White Medical Center  Lake Travis  Hill Country Galleria  condo effortlessly marries urban accessibility tranquility Hill Country  step inside  open floor plan unfolds woodlook tile floors  high ceilings  relaxing living space bathed natural light  craftsmanstyle finishes extend beautifully designed kitchen featuring granite countertops  shakerstyle cabinetry  tile backsplash  stainlesssteel appliancesan inviting space culinary exploration entertaining  Relax two spacious bedrooms  including lavish primary suite vaulted ceiling ensuite bath boasting separate vanities rejuvenating stepin shower  desk nook conveniently placed bedrooms perfect work home  private backyard overlooking protected green area added privacy complimented covered back patio offering tranquil escape creating perfect setting relaxation intimate gatherings  residence  14501 Falcon Head Blvd  25 epitomizes comfort sophistication  nt miss opportunity make  Schedule viewing step world concept home takes profound inviting meaning ,single_family,2012
for_sale,179500.0,1,1.0,3.0,1525.0,1.0,Welcome movein ready home  offering 1  525 square feet comfortable living space  3 wellappointed bedrooms 1 bathroom  charming abode perfect looking cozy space  property also features additional flex room  versatile use  easily serve 4th bedroom guests second living area personal preferences  One highlights home generouslysized  privacyfenced backyard  providing perfect setting outdoor relaxation  gatherings  even gardening  Furthermore  youll enjoy peace mind knowing brand new HVAC installed  ensuring comfort seasons  home rare find  ready welcome new owners open arms  Dont miss opportunity make ,single_family,1992
for_sale,154900.0,2,2.0,3.0,1356.0,1.0,Super cozy charming 32 corner lot wood laminate floors  Easy access Copperas Cove High School  Huge fenced back yard extra large driveway  Roof 3 years old  AC replaced August 2023 ,single_family,1971
for_sale,269900.0,2,2.0,3.0,1576.0,1.0,Home Sweet Home   newly remodeled 3bedroom 2 bath home located Cold River Ranch subdivison  Comes many updates  New flooring  new carpet bedroom  new lighting fixtures New stainless steel appliances  Fresh new paint throughout home  beauty move ready  Make appointment today   ,single_family,2007
for_sale,750000.0,3,3.0,4.0,2821.0,1.0,NT HOLD HORSES oneBRING  Gorgeous custombuilt brick home 789 acres  outside city limits  SE Mineral Wells  Perfectly situated away main road  lovely pecan orchard front plenty yard pasture back  spacious home features roomy living area gas fireplace  3 4 bedrooms  large flex room could used living area  4th bedroom  separate living quarter ensuite bath  access kitchen outdoor exit  Wood floors throughout house  ceramic tile baths entrance  Granite countertops nice custom  woodstained cabinets kitchen  30 X 30 detached garage electricity  water  extra insulation  plumbed future install  powered door  carport  Crossfencing separates pasture featuring two metalroofed sheds  one animal stalls  Entire property fenced  Gated  electric entrance private security code  Coop WELL WATER  Schedule showing today ,single_family,2003
